spore,techs,locs,carriers,unit,flow_out_sum
1,biofuel_boiler,SWE_4,heat,twh,0.00804650088147317
1,biofuel_supply,ALB_1,biofuel,twh,5.829920482715119
1,biofuel_supply,AUT_1,biofuel,twh,5.792870102823983
1,biofuel_supply,AUT_2,biofuel,twh,31.715142435103658
1,biofuel_supply,AUT_3,biofuel,twh,18.88778855402781
1,biofuel_supply,BEL_1,biofuel,twh,49.21171164836882
1,biofuel_supply,BGR_1,biofuel,twh,30.93773706389949
1,biofuel_supply,BIH_1,biofuel,twh,12.328163908637546
1,biofuel_supply,CHE_1,biofuel,twh,30.11074129530504
1,biofuel_supply,CHE_2,biofuel,twh,10.878149583555329
1,biofuel_supply,CYP_1,biofuel,twh,2.1083372206899185
1,biofuel_supply,CZE_1,biofuel,twh,38.31118595037545
1,biofuel_supply,CZE_2,biofuel,twh,26.811749344522642
1,biofuel_supply,DEU_1,biofuel,twh,52.519971291113045
1,biofuel_supply,DEU_2,biofuel,twh,49.2672130857853
1,biofuel_supply,DEU_3,biofuel,twh,35.117208584894314
1,biofuel_supply,DEU_4,biofuel,twh,44.38865153121996
1,biofuel_supply,DEU_5,biofuel,twh,43.58878512594072
1,biofuel_supply,DEU_6,biofuel,twh,34.24609475559939
1,biofuel_supply,DEU_7,biofuel,twh,64.81085926475974
1,biofuel_supply,DNK_1,biofuel,twh,27.246799475528128
1,biofuel_supply,DNK_2,biofuel,twh,10.461454104598126
1,biofuel_supply,ESP_1,biofuel,twh,13.739380454747213
1,biofuel_supply,ESP_10,biofuel,twh,0.011009525328314373
1,biofuel_supply,ESP_11,biofuel,twh,14.70572361422838
1,biofuel_supply,ESP_2,biofuel,twh,17.29884762363083
1,biofuel_supply,ESP_3,biofuel,twh,16.232216115782567
1,biofuel_supply,ESP_4,biofuel,twh,0.013337191785100441
1,biofuel_supply,ESP_5,biofuel,twh,0.010615610535947402
1,biofuel_supply,ESP_6,biofuel,twh,12.22889586520264
1,biofuel_supply,ESP_7,biofuel,twh,0.01504865606201489
1,biofuel_supply,ESP_8,biofuel,twh,13.773167131659669
1,biofuel_supply,ESP_9,biofuel,twh,9.483327178975326
1,biofuel_supply,EST_1,biofuel,twh,24.797124006914483
1,biofuel_supply,FIN_1,biofuel,twh,2.701701377722964
1,biofuel_supply,FIN_2,biofuel,twh,67.52753128020066
1,biofuel_supply,FRA_1,biofuel,twh,42.171785497503976
1,biofuel_supply,FRA_10,biofuel,twh,14.106697376908798
1,biofuel_supply,FRA_11,biofuel,twh,3.4180574237149646
1,biofuel_supply,FRA_12,biofuel,twh,31.421513608926034
1,biofuel_supply,FRA_13,biofuel,twh,21.918930653685912
1,biofuel_supply,FRA_14,biofuel,twh,0.04469996844940794
1,biofuel_supply,FRA_15,biofuel,twh,0.021272238707091343
1,biofuel_supply,FRA_2,biofuel,twh,29.978487058317924
1,biofuel_supply,FRA_3,biofuel,twh,23.647601017289688
1,biofuel_supply,FRA_4,biofuel,twh,0.034198300686468286
1,biofuel_supply,FRA_5,biofuel,twh,0.054562813529886525
1,biofuel_supply,FRA_6,biofuel,twh,17.045822009644937
1,biofuel_supply,FRA_7,biofuel,twh,23.57058626309366
1,biofuel_supply,FRA_8,biofuel,twh,20.77463383172389
1,biofuel_supply,FRA_9,biofuel,twh,0.016962065438381926
1,biofuel_supply,GBR_1,biofuel,twh,0.01618245112374151
1,biofuel_supply,GBR_2,biofuel,twh,0.012955733783519944
1,biofuel_supply,GBR_3,biofuel,twh,23.016606312211092
1,biofuel_supply,GBR_4,biofuel,twh,16.04550513554408
1,biofuel_supply,GBR_5,biofuel,twh,20.763044683089614
1,biofuel_supply,GBR_6,biofuel,twh,1.5380273337240729
1,biofuel_supply,GRC_1,biofuel,twh,11.000715621219566
1,biofuel_supply,GRC_2,biofuel,twh,0.026146588676521195
1,biofuel_supply,HRV_1,biofuel,twh,15.077556696706871
1,biofuel_supply,HUN_1,biofuel,twh,63.931799292600694
1,biofuel_supply,IRL_1,biofuel,twh,19.04895098782668
1,biofuel_supply,ITA_1,biofuel,twh,61.840210908937465
1,biofuel_supply,ITA_2,biofuel,twh,19.969763727871932
1,biofuel_supply,ITA_3,biofuel,twh,18.614464484873416
1,biofuel_supply,ITA_4,biofuel,twh,17.37653333957082
1,biofuel_supply,ITA_5,biofuel,twh,7.851974911988291
1,biofuel_supply,ITA_6,biofuel,twh,8.533211918551984
1,biofuel_supply,LTU_1,biofuel,twh,30.268265611118345
1,biofuel_supply,LUX_1,biofuel,twh,2.163824927579343
1,biofuel_supply,LVA_1,biofuel,twh,43.821952646970004
1,biofuel_supply,MKD_1,biofuel,twh,6.412971956751894
1,biofuel_supply,MNE_1,biofuel,twh,7.9676006839477855
1,biofuel_supply,NLD_1,biofuel,twh,39.24113875675325
1,biofuel_supply,NOR_1,biofuel,twh,0.01971326262369464
1,biofuel_supply,NOR_2,biofuel,twh,7.870555359227938
1,biofuel_supply,NOR_3,biofuel,twh,6.382514090098035
1,biofuel_supply,NOR_4,biofuel,twh,16.87538540555918
1,biofuel_supply,NOR_5,biofuel,twh,7.07494111746367
1,biofuel_supply,NOR_6,biofuel,twh,14.03885559820215
1,biofuel_supply,NOR_7,biofuel,twh,0.02891695093698643
1,biofuel_supply,POL_1,biofuel,twh,39.40660930547046
1,biofuel_supply,POL_2,biofuel,twh,30.197744639216726
1,biofuel_supply,POL_3,biofuel,twh,22.40237186178573
1,biofuel_supply,POL_4,biofuel,twh,42.981176763569195
1,biofuel_supply,POL_5,biofuel,twh,37.885866545161065
1,biofuel_supply,PRT_1,biofuel,twh,28.77095010059744
1,biofuel_supply,PRT_2,biofuel,twh,16.57632775778536
1,biofuel_supply,ROU_1,biofuel,twh,39.049357518364076
1,biofuel_supply,ROU_2,biofuel,twh,40.99652800175505
1,biofuel_supply,ROU_3,biofuel,twh,31.453194601101938
1,biofuel_supply,SRB_1,biofuel,twh,33.935133202539525
1,biofuel_supply,SVK_1,biofuel,twh,30.35356393522136
1,biofuel_supply,SVN_1,biofuel,twh,20.85396603093386
1,biofuel_supply,SWE_1,biofuel,twh,0.48075703377028395
1,biofuel_supply,SWE_2,biofuel,twh,1.6671810538279375
1,biofuel_supply,SWE_3,biofuel,twh,73.06139646964687
1,biofuel_supply,SWE_4,biofuel,twh,19.784381618621246
1,biofuel_to_methanol,ALB_1,methanol,twh,1.2794451578823445
1,biofuel_to_methanol,AUT_2,methanol,twh,5.226051416478727
1,biofuel_to_methanol,AUT_3,methanol,twh,1.8847729516141682
1,biofuel_to_methanol,BEL_1,methanol,twh,10.801796759960531
1,biofuel_to_methanol,BGR_1,methanol,twh,4.588784574462981
1,biofuel_to_methanol,BIH_1,methanol,twh,1.6745169715701609
1,biofuel_to_methanol,CHE_1,methanol,twh,3.2710020486003097
1,biofuel_to_methanol,CHE_2,methanol,twh,1.5521687120062606
1,biofuel_to_methanol,CYP_1,methanol,twh,0.4621912124292004
1,biofuel_to_methanol,CZE_1,methanol,twh,4.662549082253465
1,biofuel_to_methanol,CZE_2,methanol,twh,3.3963469912165705
1,biofuel_to_methanol,DEU_1,methanol,twh,4.07892941141676
1,biofuel_to_methanol,DEU_2,methanol,twh,6.4517293333365
1,biofuel_to_methanol,DEU_3,methanol,twh,7.424047714818564
1,biofuel_to_methanol,DEU_4,methanol,twh,5.219491337270755
1,biofuel_to_methanol,DEU_5,methanol,twh,2.924822428102419
1,biofuel_to_methanol,DEU_6,methanol,twh,1.107676176286358
1,biofuel_to_methanol,DEU_7,methanol,twh,6.244918107305155
1,biofuel_to_methanol,DNK_1,methanol,twh,5.991232065265064
1,biofuel_to_methanol,DNK_2,methanol,twh,2.2970759025922973
1,biofuel_to_methanol,ESP_1,methanol,twh,3.020900163131778
1,biofuel_to_methanol,ESP_11,methanol,twh,3.2329663405037574
1,biofuel_to_methanol,ESP_2,methanol,twh,3.8036967936956403
1,biofuel_to_methanol,ESP_3,methanol,twh,3.5688928305647405
1,biofuel_to_methanol,ESP_6,methanol,twh,2.6879787879703163
1,biofuel_to_methanol,ESP_8,methanol,twh,3.0276295027664584
1,biofuel_to_methanol,ESP_9,methanol,twh,2.0842213885055787
1,biofuel_to_methanol,EST_1,methanol,twh,4.684696540622605
1,biofuel_to_methanol,FIN_2,methanol,twh,10.084344942091075
1,biofuel_to_methanol,FRA_1,methanol,twh,9.271953878898332
1,biofuel_to_methanol,FRA_10,methanol,twh,3.0740502662755036
1,biofuel_to_methanol,FRA_12,methanol,twh,4.699348013993635
1,biofuel_to_methanol,FRA_13,methanol,twh,4.814019304620423
1,biofuel_to_methanol,FRA_2,methanol,twh,6.590248385849692
1,biofuel_to_methanol,FRA_3,methanol,twh,5.195632036888213
1,biofuel_to_methanol,FRA_6,methanol,twh,3.738355136589151
1,biofuel_to_methanol,FRA_7,methanol,twh,3.742397950778096
1,biofuel_to_methanol,FRA_8,methanol,twh,4.564710079792794
1,biofuel_to_methanol,GBR_3,methanol,twh,5.060933566376029
1,biofuel_to_methanol,GBR_4,methanol,twh,3.5279917279016404
1,biofuel_to_methanol,GBR_5,methanol,twh,4.5659372453236635
1,biofuel_to_methanol,GBR_6,methanol,twh,0.33655498321199157
1,biofuel_to_methanol,GRC_1,methanol,twh,2.416211305167379
1,biofuel_to_methanol,HRV_1,methanol,twh,2.007539447337164
1,biofuel_to_methanol,HUN_1,methanol,twh,9.224169670785859
1,biofuel_to_methanol,IRL_1,methanol,twh,4.18842258593474
1,biofuel_to_methanol,ITA_1,methanol,twh,13.548658982642005
1,biofuel_to_methanol,ITA_2,methanol,twh,4.375371650313454
1,biofuel_to_methanol,ITA_3,methanol,twh,4.06417176623826
1,biofuel_to_methanol,ITA_4,methanol,twh,3.811739420209457
1,biofuel_to_methanol,ITA_5,methanol,twh,1.725298663458147
